module,type,name,res_id,src,value,comments
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                Start date:","<br/>
                                Start date:",
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                duration:","<br/>
                                duration:",
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>","<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__active,Active,เปิดใช้งาน,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Add Attendees,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Add Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__session_ids,Attended Sessions,Attended Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_users__session_ids,Attended Sessions,Attended Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendees_count,Attendees count,Attendees count,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,ยกเลิก,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__color,Color,Color,
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,การกำหนดค่า,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Contact,ผู้ติดต่อ,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,Contact Tags,
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,Contact Tags,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,Contacts,
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,Contacts,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__course_id,Course,Course,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,Course Tree,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Course form,Course form,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,Courses,
openacademy,model_terms,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Create the first course,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_uid,Created by,สร้างโดย,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_uid,Created by,สร้างโดย,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_uid,Created by,สร้างโดย,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_date,Created on,สร้างเมื่อ,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_date,Created on,สร้างเมื่อ,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_date,Created on,สร้างเมื่อ,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,Delete,
